DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2016-10-05,7565.490234375,25,0,13.4,157,84.0
2016-10-06,7537.240234375,25,1,13.4,157,84.0
2016-10-07,7527.1904296875,8,1,4.3,159,85.0
2016-10-10,7532.6904296875,13,1,7.0,157,84.0
2016-10-13,7418.34033203125,9,1,4.8,153,81.8
2016-10-14,7439.84033203125,9,0,4.8,152,81.3
2016-10-17,7384.490234375,9,1,4.8,152,81.3
2016-10-18,7512.2900390625,10,0,5.3,154,82.4
2016-10-19,7507.6904296875,20,0,10.6,154,81.9
2016-10-20,7538.7900390625,18,0,9.6,154,81.9
2016-10-21,7541.6904296875,19,0,10.1,157,83.5
2016-10-24,7551.5400390625,20,0,10.6,155,82.4
2016-10-25,7541.490234375,13,1,6.9,156,83.0
2016-10-26,7476.740234375,10,1,5.3,155,82.4
2016-10-27,7452.14013671875,4,2,2.1,150,79.8
2016-10-28,7494.09033203125,5,1,2.7,149,79.3
2016-11-01,7502.1904296875,14,0,7.4,150,79.8
2016-11-02,7391.39013671875,3,1,1.6,152,80.9
2016-11-03,7344.09033203125,7,2,3.7,147,78.2
2016-11-04,7274.09033203125,1,3,0.5,142,75.5
2016-11-07,7330.9404296875,2,0,1.1,143,75.7
2016-11-08,7366.0400390625,2,2,1.1,144,76.2
2016-11-09,7247.44091796875,1,14,0.5,136,72.0
2016-11-10,7342.2900390625,11,1,5.8,139,73.5
2016-11-11,7126.49072265625,4,0,2.1,127,67.2
2016-11-15,6916.44091796875,1,8,0.5,104,55.0
2016-11-16,6928.0908203125,1,3,0.5,111,58.7
2016-11-17,6903.44091796875,2,2,1.1,108,57.1
2016-11-18,6908.49072265625,1,2,0.5,108,57.1
2016-11-21,6761.541015625,3,5,1.6,97,51.3
2016-11-22,6835.291015625,1,5,0.5,101,53.4
2016-11-23,6882.64111328125,1,3,0.5,110,58.2
2016-11-24,6837.4912109375,2,1,1.1,105,55.6
2016-11-25,6960.74072265625,2,1,1.1,116,61.4
2016-11-28,6983.390625,3,0,1.6,121,64.0
2016-11-29,7003.5908203125,4,0,2.1,124,65.6
2016-11-30,7079.390625,3,0,1.6,131,69.3
2016-12-01,7040.24072265625,3,0,1.6,128,67.7
2016-12-02,6947.29052734375,3,0,1.6,118,62.4
2016-12-05,6984.24072265625,1,0,0.5,122,64.6
2016-12-06,7001.5908203125,3,0,1.6,120,63.5
2016-12-07,6971.19091796875,2,0,1.1,120,63.5
2016-12-08,7089.24072265625,4,0,2.1,130,68.8
2016-12-09,7101.140625,6,0,3.2,131,69.3
2016-12-12,7023.19091796875,6,0,3.2,119,63.0
2016-12-13,7045.3408203125,2,0,1.1,118,62.4
2016-12-14,7004.640625,1,0,0.5,113,59.8
2016-12-15,6989.24072265625,0,0,0.0,113,59.8
2016-12-16,6976.49072265625,0,1,0.0,111,58.7
2016-12-19,6943.3408203125,0,0,0.0,104,54.7
2016-12-20,6908.0908203125,0,0,0.0,102,53.7
2016-12-21,6895.99072265625,0,1,0.0,100,52.6
2016-12-22,6816.34130859375,0,1,0.0,95,50.0
2016-12-23,6814.89111328125,0,3,0.0,93,48.9
2016-12-26,6724.44140625,0,3,0.0,82,43.2
2016-12-27,6831.9912109375,0,0,0.0,88,46.3
2016-12-28,6847.39111328125,0,0,0.0,93,48.9
2016-12-29,6915.44091796875,0,0,0.0,100,52.6
2016-12-30,6982.79052734375,2,0,1.1,104,54.7
2017-01-02,7002.49072265625,2,0,1.1,105,55.3
2017-01-03,7028.74072265625,4,0,2.1,111,58.4
2017-01-04,7030.74072265625,2,0,1.1,110,57.9
2017-01-05,7106.890625,5,0,2.6,115,60.5
2017-01-06,7083.0908203125,4,1,2.1,113,59.5
2017-01-09,7085.140625,4,1,2.1,113,59.5
2017-01-10,7132.19091796875,6,0,3.2,113,59.5
2017-01-11,7214.140625,14,0,7.4,119,62.6
2017-01-12,7231.8408203125,12,0,6.3,121,63.7
2017-01-13,7228.29052734375,5,0,2.6,122,64.2
2017-01-16,7247.94091796875,10,0,5.3,122,64.2
2017-01-17,7243.640625,10,0,5.3,123,64.7
2017-01-18,7268.990234375,11,0,5.8,127,66.8
2017-01-19,7287.740234375,9,0,4.7,131,68.9
2017-01-20,7202.74072265625,5,1,2.6,122,64.2
2017-01-23,7242.54052734375,5,1,2.6,121,63.7
2017-01-24,7315.240234375,20,1,10.5,129,67.9
2017-01-25,7417.6904296875,22,1,11.6,136,71.6
2017-01-27,7455.14013671875,22,0,11.6,140,73.7
2017-01-30,7452.14013671875,8,0,4.2,140,73.7
2017-01-31,7379.2900390625,7,1,3.7,131,68.9
2017-02-01,7516.0400390625,10,0,5.3,139,73.2
2017-02-02,7547.09033203125,18,0,9.5,144,75.8
2017-02-03,7569.89013671875,10,0,5.3,150,78.9
2017-02-06,7628.09033203125,20,0,10.5,148,77.9
2017-02-07,7603.1904296875,17,0,8.9,147,77.4
2017-02-08,7614.740234375,12,0,6.3,149,78.4
2017-02-09,7623.59033203125,11,0,5.8,153,80.5
2017-02-10,7631.240234375,10,0,5.3,153,80.5
